"wd16cd","wd16nm","lad16nm","2011_no2_total","2015_no2_total","2020_no2_total","2025_no2_total","2030_no2_total","2011_pm25_total","2011_pm25_secondary","2011_pm25_residual_salt","2015_pm25_total","2015_pm25_secondary","2015_pm25_residual_salt","2020_pm25_total","2020_pm25_secondary","2020_pm25_residual_salt","2025_pm25_total","2025_pm25_secondary","2025_pm25_residual_salt","2030_pm25_total","2030_pm25_secondary","2030_pm25_residual_salt"
"E05001236","Amblecote","Dudley",20.7141731772575,16.4498803010033,13.5779908361204,11.3865711705686,10.2169094314381,11.7832055852843,4.96344697993311,4.44299030769231,9.33906777591973,3.79293802675585,3.37792871906355,8.79241171571906,3.44863014381271,3.33064109364549,8.59709801672241,3.28179194648829,3.32890592307692,8.53722527424749,3.18353735117057,3.33791726086957
"E05001237","Belle Vale","Dudley",22.0512562153846,18.1981112615385,14.8513792307692,12.3761805846154,11.0481554676923,12.1166585846154,5.06594295076923,4.51522861538462,9.69809911692308,3.84844193846154,3.44593676615385,9.11306793538462,3.49743538153846,3.39864877230769,8.91001686769231,3.32731426461538,3.39691370461538,8.85041449230769,3.22763638153846,3.40592507384615
"E05001238","Brierley Hill","Dudley",22.3434119212963,17.805163287037,14.8256322685185,12.5186203518519,11.3019414097222,12.1966151388889,4.96629168287037,4.46598390277778,9.69426084027778,3.79585987037037,3.42878330787037,9.11724594907407,3.45118923148148,3.38149553240741,8.91544247453704,3.28417298148148,3.37976053703704,8.85763655555556,3.18584469212963,3.38877180092593
"E05001239","Brockmoor and Pensnett","Dudley",21.9894930228137,16.8954647148289,14.1931430418251,12.2011284220532,11.1316119714829,12.7612006463878,4.97008540494297,4.39376676045627,9.97892230988593,3.79943024334601,3.34029904562738,9.44128892205323,3.45431638593156,3.29301130608365,9.27439922623574,3.28708264638783,3.29127617490494,9.24162323764259,3.18866437642586,3.3002875513308
"E05001240","Castle and Priory","Dudley",24.3108567706013,19.3674582628062,16.1140946993319,13.499206013363,12.0906376614699,12.6754206681514,4.97970002227172,4.56392408240534,10.0375551180401,3.81530546547884,3.48674923830735,9.45470505567929,3.46818719599109,3.43946130066815,9.25672455902004,3.29996925835189,3.43772619153675,9.20324673051225,3.20115531180401,3.44673755233853
"E05001241","Coseley East","Dudley",25.0086395356037,20.1856365634675,16.9924081424149,14.4633588544892,13.0305079659443,12.6121932817337,4.97417881733746,4.53155769040248,10.204787873065,3.8115200619195,3.44401975232198,9.60127999380805,3.46486051083591,3.39673208359133,9.40882465634675,3.29686743343653,3.39499673065015,9.35895014860681,3.19815026934985,3.40400808668731
"E05001242","Cradley and Wollescote","Dudley",20.6276570983213,16.6035398081535,13.3153966426859,11.2471907529976,10.1229025515588,11.7218533333333,4.98631696642686,4.43919378896882,9.41904729976019,3.79876567625899,3.42476036930456,8.86234539088729,3.45380599760192,3.37747241726619,8.67298314148681,3.28664979616307,3.37573713189448,8.6126005971223,3.18823961151079,3.38474847721823
"E05001243","Gornal","Dudley",19.1154320726496,14.4068802350427,12.0757526282051,10.2363609081197,9.22900662820513,11.8945261752137,4.9694095982906,4.34490164529914,9.29331775854701,3.80737462393162,3.29540235897436,8.80327602350427,3.46122660683761,3.24811464316239,8.63103525854701,3.29348439316239,3.24637922435897,8.58068479487179,3.19487200854701,3.25539066666667
"E05001244","Halesowen North","Dudley",25.8120961083744,21.3295537192118,17.3102671921182,14.4776390640394,12.9768405172414,13.0859280541872,5.06384365024631,4.79537151477833,10.6392241650246,3.85878057635468,3.77200216009852,10.0120762167488,3.50645634975369,3.72471416009852,9.81177964285714,3.33568809852217,3.72297916009852,9.76335430788177,3.23575413300493,3.7319905
"E05001245","Halesowen South","Dudley",22.2588547543353,18.3861842196532,14.9507882225434,12.1400366069364,10.6286710433526,12.3546866184971,5.072143,4.87753134248555,10.015536517341,3.851683,4.00641109248555,9.43289832514451,3.500285,3.95912316184971,9.22827458092486,3.329972,3.95738809248555,9.16504998988439,3.230211,3.96639920231214
"E05001246","Hayley Green and Cradley South","Dudley",17.7517118777293,14.2505079475983,11.665509628821,9.66760093013101,8.58229583406114,11.200551419214,5.02434671179039,4.41584759170306,9.01421963100437,3.82097745414847,3.43490445633188,8.49433711135371,3.47332334061135,3.3876164650655,8.2987140349345,3.30484623580786,3.38588112445415,8.22734873144105,3.20586807423581,3.39489268340611
"E05001247","Kingswinford North and Wall Heath","Dudley",18.5809156900726,13.8485124213075,11.6491155690073,9.91190543341404,8.94675933656174,11.5867205326877,4.89485107748184,4.38860552542373,9.06019181113802,3.7492985157385,3.42430569975787,8.57335914769976,3.41027805569007,3.3770177094431,8.4035318716707,3.2460318401937,3.37528260048426,8.34992010895884,3.14889266101695,3.3842939031477
"E05001248","Kingswinford South","Dudley",18.1945032344214,13.8892973293769,11.5995522136499,9.78249945697329,8.82052094362018,11.7498655489614,4.9087895074184,4.37155678338279,9.17231027596439,3.75658879228487,3.34257047774481,8.6818245578635,3.41670573590504,3.29528251335312,8.50801963501484,3.252037,3.2935474925816,8.45794682195846,3.15470927893175,3.30255927299703
"E05001249","Lye and Stourbridge North","Dudley",22.5319668838527,18.6188072521246,14.8223457790368,12.5065525779037,11.2561351614731,12.0484628045326,4.98575731728045,4.47211658923513,9.58884243909348,3.7991677082153,3.39620819546742,9.00025474787535,3.45415426912181,3.34892033427762,8.79987196600567,3.28697157790368,3.3471849490085,8.73796475637394,3.1885517223796,3.35619642209632
"E05001250","Netherton, Woodside and St Andrews","Dudley",25.8674686866792,20.5675311069418,17.2806575797373,15.0099686491557,13.8188807692308,13.0062691744841,4.98744600187617,4.48710057973734,10.3401421275797,3.81036931707317,3.42224979362101,9.72124533208255,3.46392946153846,3.37496179362101,9.5203165065666,3.29604575234522,3.37322683302064,9.46543878424015,3.19734779362101,3.38223825703565
"E05001251","Norton","Dudley",15.1539159929701,11.8566817486819,9.81809814938489,8.22986996309315,7.34544482073814,10.6271029173989,4.92326763796134,4.31097521441125,8.59340697363796,3.75630639718805,3.37988269068541,8.12212433567663,3.41653530931459,3.33259478910369,7.93675208435852,3.25192365905097,3.3308593831283,7.86217721968366,3.15459479613357,3.33987091915641
"E05001252","Pedmore and Stourbridge East","Dudley",17.8618104319654,14.3367513390929,11.6914544924406,9.69681494384449,8.58718005183585,11.1039284881209,4.987948,4.36195418358531,8.81497674298056,3.797594,3.33133699784017,8.30719795896328,3.452791,3.28404919654428,8.11808048596112,3.285712,3.28231410151188,8.04931847732181,3.18733,3.29132561771058
"E05001253","Quarry Bank and Dudley Wood","Dudley",23.7255117714286,19.0045634,15.5278262285714,13.2345988857143,12.0071668571429,12.3948167428571,4.9820346,4.47242588857143,9.91496324,3.80648550857143,3.40267566,9.31303611142857,3.46052025714286,3.35538766,9.11638256571429,3.29286925714286,3.35365228571429,9.06366785142857,3.19427013714286,3.36266382
"E05001254","St James's","Dudley",23.7061473255814,18.7173356395349,15.5826765988372,13.1056320639535,11.7925456686047,12.6843210465116,4.9726718372093,4.48844596511628,9.90373293313954,3.80679179069767,3.41966100581395,9.33184998255814,3.46073702325581,3.3723730377907,9.13836601162791,3.293041,3.37063768604651,9.0875143372093,3.1944406744186,3.37964915988372
"E05001255","St Thomas's","Dudley",27.1720676576577,21.9942196096096,18.3978115015015,15.7408647447447,14.329274024024,13.3848196096096,5.01986565165165,4.6049714954955,10.8687757957958,3.83599843243243,3.55812915315315,10.2362021591592,3.48641244444444,3.51084132732733,10.0350992402402,3.31698589489489,3.50910606906907,9.98757688888889,3.2176376996997,3.51811745645646
"E05001256","Sedgley","Dudley",18.8786035449735,14.8337708994709,12.3996724074074,10.3773892698413,9.27329171428571,11.6405635185185,4.9689987962963,4.40157992592593,9.43637073544974,3.80802525925926,3.3351797037037,8.93461145502645,3.46178853703704,3.2878917037037,8.75103784656085,3.29400272222222,3.28615660582011,8.69334286507936,3.195375,3.29516788359788
"E05001257","Upper Gornal and Woodsetton","Dudley",21.5011954545455,16.8884094242424,14.0931550909091,11.7792988333333,10.520549330303,12.0448968787879,4.969795,4.47091057575758,9.58382419090909,3.808001,3.37116258787879,9.04099027272727,3.461774,3.3238745969697,8.84583513636364,3.293993,3.32213955151515,8.78712665454545,3.195365,3.33115077575758
"E05001258","Wollaston and Stourbridge Town","Dudley",18.9102495221843,14.8567746075085,12.3133660409556,10.2577684880546,9.15777164846416,11.3441669624573,4.91468823208191,4.38566503412969,9.04056826279863,3.75358866894198,3.34934236177474,8.51926452559727,3.41412507508532,3.30205466894198,8.32459927645051,3.24966352901024,3.30031966894198,8.26004667918089,3.1524064778157,3.30933075767918
"E05001259","Wordsley","Dudley",18.6520922945205,14.4576389383562,12.1003719520548,10.1895852328767,9.1770691130137,11.4310660616438,4.91263060616438,4.37530991438356,9.1744098630137,3.75921206849315,3.32924582191781,8.66362287328767,3.41900920547945,3.28195782876712,8.46715734931507,3.25418365753425,3.28022252054794,8.39976571917808,3.15678909931507,3.28923416438356
"E05001260","Abbey","Sandwell",25.4202176190476,20.942580952381,17.2306380952381,14.0834590952381,12.4013034285714,12.8230651904762,5.178572,4.76115721428571,10.369415847619,3.953815,3.65670122380952,9.74495500476191,3.593542,3.606205,9.52221561428571,3.41852,3.604436,9.4665824047619,3.319035,3.61406822380952
"E05001261","Blackheath","Sandwell",26.4329199618321,22.0621315267176,17.6325588549618,14.8463225572519,13.3598047328244,13.0465826335878,5.061059,4.71104092748092,11.2695899236641,3.861162,3.65724358396947,10.610625019084,3.508527,3.60995585877863,10.4007332977099,3.337606,3.60822085877863,10.352057240458,3.237614,3.61723222137405
"E05001262","Bristnall","Sandwell",26.0821085232068,21.7564591983122,17.5854626160338,14.5501016033755,12.9367338396624,12.9373761181435,5.13493848101266,4.77402692827004,10.8420896202532,3.91941219831224,3.68543242194093,10.1969631054852,3.56197524894515,3.63612751476793,9.97710898734177,3.38847598312236,3.63437113924051,9.92168761603375,3.28880272995781,3.64377286075949
"E05001263","Charlemont with Grove Vale","Sandwell",29.8781830576441,24.2146132330827,19.7262624310777,16.0665717293233,14.1136195238095,13.9763961152882,5.16650014536341,5.27850976441103,11.4704811779449,3.96347997493734,4.22812985213033,10.786569924812,3.60194684962406,4.17763343859649,10.5564154360902,3.42630387468672,4.17586421553885,10.4995989598997,3.32658510776942,4.18549686466165
"E05001264","Cradley Heath and Old Hill","Sandwell",25.2842002962963,20.6443342222222,16.4730811851852,14.0936637283951,12.8224583703704,12.6126890123457,5.0318094691358,4.51893949382716,10.7975428197531,3.84026102962963,3.45759057777778,10.1653095925926,3.49017869876543,3.41030288395062,9.96335705679012,3.32050925925926,3.40856741728395,9.91172312345679,3.22104931111111,3.41757924444444
"E05001265","Friar Park","Sandwell",29.4448435215947,23.2576562126246,19.0888791362126,15.9023659468439,14.2272410963455,13.8253899667774,5.13679787707641,4.99293074086379,11.6780111627907,3.94866916611296,3.92229731893688,11.010950730897,3.58818554817276,3.87241906644518,10.7845222591362,3.4131253986711,3.87065651495017,10.7275659468439,3.3132386744186,3.88016970431894
"E05001266","Great Barr with Yew Tree","Sandwell",30.1086185604113,24.1156045244216,19.4018246272494,15.5844542159383,13.5571274550129,14.0033973007712,5.1666643907455,5.31888350128535,11.1090940874036,3.9721712596401,4.24113829048843,10.4305172442159,3.60953143701799,4.19064220308483,10.2037903290488,3.43334532647815,4.1888731748072,10.1486462982005,3.3334119562982,4.1985056940874
"E05001267","Great Bridge","Sandwell",29.1087865373961,23.4838086980609,19.8425470360111,17.2013272853186,15.7606904155125,13.8515705540166,5.050656,4.6677167867036,11.7137091135734,3.867632,3.61822685041551,11.0507273407202,3.514129,3.57093885041551,10.8541335180055,3.342781,3.56920391689751,10.8116726094183,3.242635,3.57821500554017
"E05001268","Greets Green and Lyng","Sandwell",32.1254175,26.5859731578947,22.4609131052632,19.5262442631579,17.9450774473684,14.5624226315789,5.07463663157895,4.83121635263158,12.2601622631579,3.88668410789474,3.83256985263158,11.5415482894737,3.53160260263158,3.78463179473684,11.3173667631579,3.35940826578947,3.78289009473684,11.2587390789474,3.25935773157895,3.79202699736842
"E05001269","Hateley Heath","Sandwell",28.8357114521452,23.5706527722772,19.8318895049505,16.9399259405941,15.3883704950495,13.8042089768977,5.14558843564356,4.77983718481848,11.6734829372937,3.9460204620462,3.69297945874587,11.0235169306931,3.58595323762376,3.64306522442244,10.8067893729373,3.41109395049505,3.64130231023102,10.7545180858086,3.31129907920792,3.65082221782178
"E05001270","Langley","Sandwell",31.5159056491228,26.0515072631579,20.7056507368421,16.9800492982456,15.0236280350877,14.3295027368421,5.061059,5.27373041403509,12.0320698596491,3.861162,4.2157499754386,11.291513754386,3.508527,4.1684621754386,11.0639169333333,3.337606,4.16672688421053,11.0172497754386,3.237614,4.17573841754386
